Sorted by name ,Linear,Quadratic ,Undecided ,DA WD,Size (of spectrum),Comments
DESI_WDJ001321.07+282019.83_bin0p2.dat,,,,1,,
DESI_WDJ001736.54+093901.87_bin0p2.dat,,,1,,3,
DESI_WDJ022723.13-055305.72_bin0p2.dat,1,,,,2,
DESI_WDJ023420.63+264801.74_bin0p2.dat,,1,,,3,or quad and vb
DESI_WDJ070253.76+553733.64_bin0p2.dat,1,,,,2,or quad and vb
DESI_WDJ073615.92+403335.18_bin0p2.dat,1,,,,1,
DESI_WDJ082302.41+334534.27_bin0p2.dat,1,,,,1,
DESI_WDJ084546.99+194542.45_bin0p2.dat,1,,,,2,
DESI_WDJ110146.25+323101.96_bin0p2.dat,,1,,,3,
DESI_WDJ110344.93+510048.61_bin0p2.dat,1,,,,1,
DESI_WDJ111812.68+095241.52_bin0p2.dat,1,,,,1,
DESI_WDJ111940.70+722847.58_bin0p2.dat,1,,,,2,
DESI_WDJ112328.50+095619.35_bin0p2.dat,1,,,,1,
DESI_WDJ112926.23+493931.89_bin0p2.dat,1,,,,1,
DESI_WDJ113357.66+515204.69_bin0p2.dat,1,,,,1,
DESI_WDJ115418.15+011711.55_bin0p2.dat,1,,,,2,
DESI_WDJ121209.31+013627.77_bin0p2.dat,1,,,,2,Quite clear broad separation (low noise)
DESI_WDJ121548.73-005637.56_bin0p2.dat,1,,,,1,Noisy broad sep
DESI_WDJ125731.29-085920.57_bin0p2.dat,,1,,,3,
DESI_WDJ125934.21-072224.53_bin0p2.dat,,1,,,3,
DESI_WDJ125954.37+252756.09_bin0p2.dat,1,,,,1,
DESI_WDJ131051.11+171049.60_bin0p2.dat,1,,,,1,
DESI_WDJ131426.39+173228.40_bin0p2.dat,1,,,,1,Clear; Probably broadest seen yet; lin and b or lin and vb
DESI_WDJ132442.07+322849.11_bin0p2.dat,,1,,,3,noisy 
DESI_WDJ133146.76+182448.19_bin0p2.dat,,1,,,3,
DESI_WDJ133158.03+312721.23_bin0p2.dat,,1,,,3,
DESI_WDJ133250.72+011706.32_bin0p2.dat,1,,,,2,
DESI_WDJ133405.83+045802.23_bin0p2.dat,,,,,,Inc. noisy
DESI_WDJ140716.66+495613.78_bin0p2.dat,,1,,,3,v broad; reasonable level of noise 
DESI_WDJ141813.22+312340.03_bin0p2.dat,1,,,,1,
DESI_WDJ141909.89+002845.03_bin0p2.dat,,1,,,3,
DESI_WDJ142101.53-054634.31_bin0p2.dat,,1,,,3,
DESI_WDJ142703.37+372110.58_bin0p2.dat,1,,,,2,
DESI_WDJ143026.28+444633.44_bin0p2.dat,,1,,,3,Very clear triplet but much larger separation than expected atm for Linear
DESI_WDJ143122.24+353420.07_bin0p2.dat,1,,,,2,
DESI_WDJ143434.81+522644.52_bin0p2.dat,,1,,,3,
DESI_WDJ143550.43+140519.59_bin0p2.dat,1,,,,2,
DESI_WDJ143804.42-005220.49_bin0p2.dat,,1,,,3,
DESI_WDJ144115.58+051842.91_bin0p2.dat,1,,,,1,
DESI_WDJ144803.36-062400.75_bin0p2.dat,,1,,,3,
DESI_WDJ144934.73+025502.73_bin0p2.dat,,1,,,3,
DESI_WDJ145238.60-042342.35_bin0p2.dat,,1,,,3,
DESI_WDJ145746.15+032946.45_bin0p2.dat,,1,,,3,or b
DESI_WDJ150033.30-041639.63_bin0p2.dat,1,1,,,2,
DESI_WDJ150218.87+023054.98_bin0p2.dat,,1,,,3,
DESI_WDJ150356.95+462721.39_bin0p2.dat,,1,,,3,V noisy
DESI_WDJ150426.49-004145.83_bin0p2.dat,1,,,,1,
DESI_WDJ150809.80+215037.06_bin0p2.dat,1,,,,2,V noisy 
DESI_WDJ151325.95+000225.28_bin0p2.dat,,1,,,3,
DESI_WDJ151516.48+244547.78_bin0p2.dat,,1,,,3,V noisy
DESI_WDJ151650.19+393327.87_bin0p2.dat,1,,,,2,V noisy
DESI_WDJ152039.03+132536.79_bin0p2.dat,1,,,,2,V noisy
DESI_WDJ153049.70+344434.75_bin0p2.dat,,,1,,3,V noisy
DESI_WDJ153349.03+005916.21_bin0p2.dat,1,,,,1,V noisy
DESI_WDJ153843.10+084238.51_bin0p2.dat,1,,,,2,
DESI_WDJ153948.05+404528.44_bin0p2.dat,1,,,,2,V noisy
DESI_WDJ154305.68+343223.66_bin0p2.dat,,1,,,3,V noisy
DESI_WDJ154855.04+245112.94_bin0p2.dat,1,,,,2,V noisy
DESI_WDJ155708.02+041156.39_bin0p2.dat,1,,,,2,
DESI_WDJ155807.89+381649.61_bin0p2.dat,,1,,,3,V noisy
DESI_WDJ160357.94+140929.77_bin0p2.dat,1,,,,2,
DESI_WDJ160604.06+550924.93_bin0p2.dat,1,,,,1,V noisy
DESI_WDJ161043.54+132704.74_bin0p2.dat,1,,,,1,V noisy
DESI_WDJ161626.90+005751.21_bin0p2.dat,1,,,,2,V noisy
DESI_WDJ161844.40+432750.34_bin0p2.dat,1,,,,1,V noisy
DESI_WDJ162157.79+043218.81_bin0p2.dat,1,,,,2,
DESI_WDJ162608.76+055240.06_bin0p2.dat,1,,,,2,
DESI_WDJ162808.37+233254.50_bin0p2.dat,1,,,,2,V noisy
DESI_WDJ163024.63+253248.53_bin0p2.dat,,1,,,3,
DESI_WDJ163248.25+284022.05_bin0p2.dat,,1,,,3,
DESI_WDJ164703.24+370910.23_bin0p2.dat,1,,,,2,V noisy
DESI_WDJ165029.91+341125.53_bin0p2.dat,1,,,,1,V noisy
DESI_WDJ165200.65+411029.96_bin0p2.dat,1,,,,2,V noisy
DESI_WDJ165203.68+352815.81_bin0p2.dat,1,,,,2,H alpha shifted 
DESI_WDJ165249.09+333444.98_bin0p2.dat,1,,,,2,V noisy
DESI_WDJ165316.22+582155.24_bin0p2.dat,1,,,,1,V noisy
DESI_WDJ165631.22+760850.65_bin0p2.dat,,1,,,3,
DESI_WDJ165857.27+250053.50_bin0p2.dat,,1,,,3,Inc. noisy - too noisy to fit 
DESI_WDJ165956.79+124611.67_bin0p2.dat,1,,,,1,
DESI_WDJ170052.33+051758.52_bin0p2.dat,,1,,,3,
DESI_WDJ170751.94+353238.72_bin0p2.dat,1,,,,1,Inc. noisy 
DESI_WDJ171054.71+322001.14_bin0p2.dat,,1,,,3,
DESI_WDJ171101.52+654549.87_bin0p2.dat,,1,,,3,V noisy
DESI_WDJ171419.88+494348.33_bin0p2.dat,,1,,,3,V noisy
DESI_WDJ171450.80+391837.43_bin0p2.dat,1,,,,1,
DESI_WDJ172307.13+400354.21_bin0p2.dat,,1,,,3,V noisy
DESI_WDJ172329.14+540755.79_bin0p2.dat,,1,,,3,Broad
DESI_WDJ172728.38+275314.89_bin0p2.dat,,1,,,3,V noisy
DESI_WDJ172948.81+754004.94_bin0p2.dat,1,,,,1,
DESI_WDJ173254.87+255233.75_bin0p2.dat,,1,,,3,noisy 
DESI_WDJ173708.52+242024.77_bin0p2.dat,1,,,,3,Broadest yet 
DESI_WDJ175419.17+660224.85_bin0p2.dat,,1,,,3,shifted 
DESI_WDJ175438.38+384644.75_bin0p2.dat,,,,1,,V noisy
DESI_WDJ175657.65+261145.93_bin0p2.dat,1,,,,2,
DESI_WDJ175953.54+465216.72_bin0p2.dat,1,,,,2,
DESI_WDJ180053.00+514253.76_bin0p2.dat,1,,,,1,linear more likely 
DESI_WDJ180147.11+652136.43_bin0p2.dat,1,,,,2,V noisy
DESI_WDJ180207.86+580556.83_bin0p2.dat,1,,,,2,V noisy
DESI_WDJ180603.08+464002.99_bin0p2.dat,1,,,,1,noisy 
DESI_WDJ180702.60+304953.53_bin0p2.dat,,1,,,3,signs of both
DESI_WDJ180813.60+652321.24_bin0p2.dat,,1,,,3,
DESI_WDJ181228.42+332435.76_bin0p2.dat,1,,,,2,
DESI_WDJ181629.42+341225.34_bin0p2.dat,1,,,,2,
DESI_WDJ184116.01+650815.63_bin0p2.dat,1,,,,2,V noisy
DESI_WDJ184926.21+645810.98_bin0p2.dat,,1,,,3,shifted 
DESI_WDJ190335.09+612115.65_bin0p2.dat,1,,,,1,
DESI_WDJ204507.07-030854.74_bin0p2.dat,1,,,,2,V noisy
DESI_WDJ205129.64+035801.66_bin0p2.dat,1,,,,1,
DESI_WDJ212728.40+181643.01_bin0p2.dat,,1,,,3,V noisy
DESI_WDJ215019.91+014131.35_bin0p2.dat,,1,,,3,V noisy
DESI_WDJ215236.56+021904.24_bin0p2.dat,1,,,,2,
DESI_WDJ222348.40+231909.37_bin0p2.dat,,,,1,,almost no features; noisy 
DESI_WDJ225448.81+303107.67_bin0p2.dat,,1,,,3,shifted 
DESI_WDJ000558.72+294103.91_bin0p2.dat,,,1,,3,Absoprtion peaks (upwards) - DZ?
DESI_WDJ000603.82+075514.68_bin0p2.dat,,1,,,2,
DESI_WDJ000637.91+310415.94_bin0p2.dat,,,1,,3,"Very little to take away, upwards peak "
DESI_WDJ000904.06+073031.73_bin0p2.dat,,1,,,2,
DESI_WDJ001226.29+022240.67_bin0p2.dat,1,,,,2,
DESI_WDJ001328.71+074844.70_bin0p2.dat,1,,,,2,
DESI_WDJ001742.44+004137.35_bin0p2.dat,,1,,,2,"Clean spectra, H beta, shifted peaks"
DESI_WDJ002413.22+182405.17_bin0p2.dat,1,,,,2,
DESI_WDJ002416.19+020030.03_bin0p2.dat,,1,,,3,"Very little to take away, maybe DZ"
DESI_WDJ004405.69+195930.44_bin0p2.dat,1,,,,2,v noisy 
DESI_WDJ004523.20+053246.89_bin0p2.dat,,1,,,3,Could be DA
DESI_WDJ005045.82-032655.47_bin0p2.dat,,1,,,3,upwards h alpha peak 
DESI_WDJ005526.32+294311.82_bin0p2.dat,,1,,,2,or 3
DESI_WDJ005536.88+305101.17_bin0p2.dat,1,,,,2,
DESI_WDJ005602.40+022437.99_bin0p2.dat,1,,,,2,
DESI_WDJ010807.24+313954.75_bin0p2.dat,,1,,,3,
DESI_WDJ011423.35+160727.57_bin0p2.dat,1,,,,2,
DESI_WDJ011810.31-015612.23_bin0p2.dat,,,1,,3,upwards h alpha peak 
DESI_WDJ011932.09-141526.77_bin0p2.dat,1,,,,2,
DESI_WDJ012930.35+155106.95_bin0p2.dat,,,1,,3,
DESI_WDJ013224.10+013558.03_bin0p2.dat,1,,,,2,large signal at start so initially looks like there is no signal
DESI_WDJ013724.27-045253.23_bin0p2.dat,1,,,,2,
DESI_WDJ013934.36+303620.55_bin0p2.dat,1,,,,2,
DESI_WDJ014158.21+044222.40_bin0p2.dat,,1,,,3,
DESI_WDJ014525.91+071222.08_bin0p2.dat,1,,,,2,
DESI_WDJ014602.76-125848.64_bin0p2.dat,1,,,,2,
DESI_WDJ014620.63-013850.01_bin0p2.dat,1,,,,2,
DESI_WDJ015013.09+283556.31_bin0p2.dat,1,,,,1,
DESI_WDJ015143.34+243550.60_bin0p2.dat,,1,,,2,
DESI_WDJ015318.81+095933.16_bin0p2.dat,,1,,,3,or DA
DESI_WDJ015411.25+213307.44_bin0p2.dat,,1,,,3,or DA
DESI_WDJ015812.34-074547.49_bin0p2.dat,,1,,,3,or DA
DESI_WDJ015817.35+233511.12_bin0p2.dat,1,,,,2,
DESI_WDJ021152.10+284609.71_bin0p2.dat,1,,,,1,
DESI_WDJ021827.00+123957.57_bin0p2.dat,,,1,,3,too noisy to determine 
DESI_WDJ023333.52+214340.50_bin0p2.dat,1,,,,2,
DESI_WDJ025729.76+030819.43_bin0p2.dat,,1,,,3,or DA
DESI_WDJ030053.95-152330.76_bin0p2.dat,,1,,,2,
DESI_WDJ030943.00-061945.32_bin0p2.dat,,,1,,3,DZ
DESI_WDJ032410.49-022918.86_bin0p2.dat,,1,,,3,DA
DESI_WDJ033810.75-093136.25_bin0p2.dat,,1,,,2,or 3 
DESI_WDJ034511.10+003444.22_bin0p2.dat,1,,,,1,
DESI_WDJ034513.72-111452.15_bin0p2.dat,1,,,,2,
DESI_WDJ034633.88-015005.44_bin0p2.dat,1,,,,2,
DESI_WDJ034739.93-122303.19_bin0p2.dat,,1,,,3,or DA
DESI_WDJ042323.35-131322.69_bin0p2.dat,,1,,,3,"uneven shift sigma peaks, guessing v magnetic "
DESI_WDJ044729.19-065222.20_bin0p2.dat,1,,,,1,
DESI_WDJ065123.03+624254.29_bin0p2.dat,1,,,,1,
DESI_WDJ065614.30+570002.99_bin0p2.dat,1,,,,1,
DESI_WDJ070405.88+695533.65_bin0p2.dat,1,,,,1,
DESI_WDJ070439.52+605207.77_bin0p2.dat,1,,,,2,
