Sorted by name ,Linear,Quadratic ,Undecided ,DA WD,Size (of spectrum),Comments
DESI_WDJ000558.72+294103.91_bin0p2.dat,,,1,,3,Absoprtion peaks (upwards) - DZ?
DESI_WDJ000603.82+075514.68_bin0p2.dat,,1,,,2,
DESI_WDJ000637.91+310415.94_bin0p2.dat,,,1,,3,"Very little to take away, upwards peak "
DESI_WDJ000904.06+073031.73_bin0p2.dat,,1,,,2,
DESI_WDJ001226.29+022240.67_bin0p2.dat,1,,,,2,
DESI_WDJ001328.71+074844.70_bin0p2.dat,1,,,,2,
DESI_WDJ001742.44+004137.35_bin0p2.dat,,1,,,2,"Clean spectra, H beta, shifted peaks"
DESI_WDJ002413.22+182405.17_bin0p2.dat,1,,,,2,
DESI_WDJ002416.19+020030.03_bin0p2.dat,,1,,,3,"Very little to take away, maybe DZ"
DESI_WDJ004405.69+195930.44_bin0p2.dat,1,,,,2,v noisy 
DESI_WDJ004523.20+053246.89_bin0p2.dat,,1,,,3,Could be DA
DESI_WDJ005045.82-032655.47_bin0p2.dat,,1,,,3,upwards h alpha peak 
DESI_WDJ005526.32+294311.82_bin0p2.dat,,1,,,2,or 3
DESI_WDJ005536.88+305101.17_bin0p2.dat,1,,,,2,
DESI_WDJ005602.40+022437.99_bin0p2.dat,1,,,,2,
DESI_WDJ010807.24+313954.75_bin0p2.dat,,1,,,3,
DESI_WDJ011423.35+160727.57_bin0p2.dat,1,,,,2,
DESI_WDJ011810.31-015612.23_bin0p2.dat,,,1,,3,upwards h alpha peak 
DESI_WDJ011932.09-141526.77_bin0p2.dat,1,,,,2,
DESI_WDJ012930.35+155106.95_bin0p2.dat,,,1,,3,
DESI_WDJ013224.10+013558.03_bin0p2.dat,1,,,,2,large signal at start so initially looks like there is no signal
DESI_WDJ013724.27-045253.23_bin0p2.dat,1,,,,2,
DESI_WDJ013934.36+303620.55_bin0p2.dat,1,,,,2,
DESI_WDJ014158.21+044222.40_bin0p2.dat,,1,,,3,
DESI_WDJ014525.91+071222.08_bin0p2.dat,1,,,,2,
DESI_WDJ014602.76-125848.64_bin0p2.dat,1,,,,2,
DESI_WDJ014620.63-013850.01_bin0p2.dat,1,,,,2,
DESI_WDJ015013.09+283556.31_bin0p2.dat,1,,,,1,
