Column1,Column2,Column3,Column4
18,1s0,->,4p+1
,470100,972.3389,
,705150,972.2288,
,940200,972.1163,
,1410300,971.8835,
,2350500,971.3875,
,3290700,970.8514,
,4701000,969.9732,
,7051500,968.3194,
,9402000,966.4417,
,14103000,962.0899,
,23505000,951.5451,
,32907000,939.4504,
,47010000,920.2322,
,70515000,890.6319,
,94020000,865.9761,
,141030000,821.9402,
,235050000,743.7023,
,329070000,675.169,
18,1s0,->,4f+1
,470100,972.3423,
,705150,972.2365,
,940200,972.1299,
,1410300,971.9141,
,2350500,971.4722,
,3290700,971.0167,
,4701000,970.3083,
,7051500,969.062,
,9402000,967.7363,
,14103000,964.8631,
,23505000,958.3541,
,32907000,951.054,
,47010000,939.0829,
,70515000,917.5109,
,94020000,894.9162,
,141030000,848.877,
,235050000,761.7812,
,329070000,691.8595,
18,1s0,->,4p0
,470100,972.5481,
,705150,972.5441,
,940200,972.5385,
,1410300,972.5226,
,2350500,972.4717,
,3290700,972.3957,
,4701000,972.2351,
,7051500,971.8469,
,9402000,971.3153,
,14103000,969.8646,
,23505000,965.7377,
,32907000,960.5386,
,47010000,951.8243,
,70515000,937.3297,
,94020000,924.6113,
,141030000,903.8357,
,235050000,870.61,
,329070000,842.2867,
18,1s0,->,4f0
,470100,972.55,
,705150,972.5485,
,940200,972.5465,
,1410300,972.5408,
,2350500,972.523,
,3290700,972.4965,
,4701000,972.4407,
,7051500,972.3052,
,9402000,972.1179,
,14103000,971.595,
,23505000,970.018,
,32907000,967.8543,
,47010000,963.7909,
,70515000,955.6334,
,94020000,946.6295,
,141030000,928.3526,
,235050000,895.045,
,329070000,865.8399,
18,1s0,->,4p-1
,470100,972.7534,
,705150,972.8506,
,940200,972.9453,
,1410300,973.1269,
,2350500,973.4595,
,3290700,973.7514,
,4701000,974.1139,
,7051500,974.5225,
,9402000,974.6979,
,14103000,974.4148,
,23505000,971.8071,
,32907000,967.3277,
,47010000,958.9024,
,70515000,946.017,
,94020000,937.1019,
,141030000,921.5198,
,235050000,888.4877,
,329070000,851.5363,
18,1s0,->,4f-1
,470100,972.757,
,705150,972.8586,
,940200,972.9594,
,1410300,973.1582,
,2350500,973.5456,
,3290700,973.9193,
,4701000,974.4541,
,7051500,975.278,
,9402000,976.0193,
,14103000,977.2665,
,23505000,978.9217,
,32907000,979.6506,
,47010000,979.4112,
,70515000,976.4341,
,94020000,971.1295,
,141030000,955.5794,
,235050000,914.5138,
,329070000,878.3871,
11,1s0,->,3p0
,10,1025.72,
,469600,1026,
,4696000,1026,
,32870000,1022,
,46960000,1019,
,93920000,1004,
,140900000,987,
,234800000,954.5,
,328700000,924.6,
,469600000,884.4,
,939200000,781.4,
10,1s0,->,3p-1
,10,1025.72,
,469600,1026,
,4696000,1028,
,32870000,1034,
,46960000,1034,
,93920000,1025,
,140900000,1009,
,234800000,977.4,
,469600000,912.4,
,939200000,813.6,
38,1s0,->,2p0
,10,1217.591,
,4696000,1217.562,
,9392000,1217.475,
,14090000,1217.332,
,23480000,1216.891,
,28180000,1216.602,
,32870000,1216.274,
,37570000,1215.913,
,42260000,1215.523,
,46960000,1215.109,
,51650000,1214.673,
,56350000,1214.218,
,61050000,1213.745,
,70440000,1212.743,
,79830000,1211.667,
,84530000,1211.099,
,89220000,1210.512,
,93920000,1209.905,
,103300000,1208.631,
,112700000,1207.278,
,126800000,1205.104,
,140900000,1202.765,
,150300000,1201.12,
,164400000,1198.533,
,187800000,1193.931,
,211300000,1189.015,
,234800000,1183.835,
,258300000,1178.436,
,281800000,1172.858,
,305200000,1167.135,
,328700000,1161.298,
,375700000,1149.382,
,422600000,1137.28,
,469600000,1125.117,
,563500000,1100.965,
,704400000,1065.954,
,798300000,1043.744,
,939200000,1012.319,
38,1s0,->,2p-1
,10,1215.695,
,4696000,1218.906,
,9392000,1222.062,
,14090000,1225.162,
,23480000,1231.193,
,28180000,1234.123,
,32870000,1236.996,
,37570000,1239.811,
,42260000,1242.57,
,46960000,1245.271,
,51650000,1247.915,
,56350000,1250.503,
,61050000,1253.035,
,70440000,1257.935,
,79830000,1262.62,
,84530000,1264.883,
,89220000,1267.095,
,93920000,1269.256,
,103300000,1273.43,
,112700000,1277.411,
,126800000,1283.04,
,140900000,1288.276,
,150300000,1291.561,
,164400000,1296.196,
,187800000,1303.194,
,211300000,1309.364,
,234800000,1314.79,
,258300000,1319.545,
,281800000,1323.697,
,305200000,1327.303,
,328700000,1330.416,
,375700000,1335.344,
,422600000,1338.796,
,469600000,1341.024,
,563500000,1342.592,
,704400000,1339.817,
,798300000,1335.678,
,939200000,1327.29,
81,2p-1,->,5s0
,10,4340.47,
,4696000,4275.367,
,7044000,4226.09,
,9392000,4169.089,
,11740000,4106.573,
,14090000,4040.46,
,16440000,3972.391,
,18780000,3904.167,
,21130000,3857.549,
,23480000,3827.21,
,25830000,3797.346,
,28180000,3767.699,
,30520000,3738.223,
,32870000,3708.858,
,37570000,3650.007,
,42260000,3589.693,
,46960000,3526.287,
,49310000,3493.512,
,51650000,3460.566,
,54000000,3428.092,
,56350000,3396.809,
,58700000,3367.363,
,61050000,3340.098,
,63390000,3314.93,
,65740000,3291.49,
,68090000,3269.365,
,70440000,3248.212,
,72790000,3227.763,
,75130000,3207.741,
,77480000,3187.554,
,79830000,3164.489,
,82180000,3134.568,
,84530000,3102.504,
,85000000,3096.126,
,85470000,3089.789,
,85930000,3083.504,
,86400000,3077.293,
,86870000,3071.183,
,87340000,3065.224,
,87810000,3059.498,
,88280000,3054.125,
,88750000,3049.228,
,89220000,3044.833,
,89690000,3040.841,
,90160000,3037.116,
,90630000,3033.56,
,91100000,3030.112,
,91570000,3026.737,
,92040000,3023.415,
,92510000,3020.131,
,92980000,3016.88,
,93450000,3013.654,
,93920000,3010.451,
,103300000,2949.364,
,112700000,2892.424,
,122100000,2838.911,
,131500000,2788.43,
,136200000,2764.007,
,140900000,2740.674,
,150300000,2695.379,
,152600000,2684.412,
,159700000,2652.315,
,164400000,2631.554,
,169100000,2611.275,
,176100000,2581.704,
,178400000,2572.065,
,187800000,2534.508,
,199600000,2489.636,
,211300000,2446.812,
,223100000,2405.866,
,234800000,2366.8,
,258300000,2294.771,
,281800000,2230.582,
,305200000,2172.737,
,328700000,2120.028,
,352200000,2071.349,
,375700000,2026.316,
,422600000,1945.115,
,469600000,1875.051,
,704400000,1616.543,
,939200000,1449.597,
81,2p-1,->,5d0
,10,4340.47,
,4696000,4290.43,
,7044000,4258.202,
,9392000,4222.647,
,11740000,4184.582,
,14090000,4144.727,
,16440000,4103.676,
,18780000,4061.902,
,21130000,4019.772,
,23480000,3977.572,
,25830000,3935.525,
,28180000,3893.81,
,30520000,3852.588,
,32870000,3812.016,
,37570000,3733.575,
,42260000,3660.422,
,46960000,3594.73,
,49310000,3564.889,
,51650000,3536.785,
,54000000,3510.1,
,56350000,3484.515,
,58700000,3459.724,
,61050000,3435.365,
,63390000,3410.771,
,65740000,3384.193,
,68090000,3352.577,
,70440000,3316.727,
,72790000,3279.926,
,75130000,3243.678,
,77480000,3208.886,
,79830000,3178.321,
,82180000,3155.959,
,84530000,3137.124,
,85000000,3133.505,
,85470000,3129.917,
,85930000,3126.357,
,86400000,3122.822,
,86870000,3119.31,
,87340000,3115.818,
,87810000,3112.347,
,88280000,3108.893,
,88750000,3105.458,
,89220000,3102.039,
,89690000,3098.636,
,90160000,3095.248,
,90630000,3091.875,
,91100000,3088.517,
,91570000,3085.174,
,92040000,3081.843,
,92510000,3078.527,
,92980000,3075.224,
,93450000,3071.933,
,93920000,3068.656,
,103300000,3005.535,
,112700000,2946.486,
,122100000,2890.96,
,131500000,2838.559,
,136200000,2813.422,
,140900000,2788.956,
,150300000,2741.87,
,152600000,2730.461,
,159700000,2697.045,
,164400000,2675.407,
,169100000,2654.248,
,176100000,2623.349,
,178400000,2613.26,
,187800000,2573.875,
,199600000,2526.62,
,211300000,2481.324,
,223100000,2437.955,
,234800000,2396.739,
,258300000,2321.601,
,281800000,2255.357,
,305200000,2195.958,
,328700000,2141.916,
,352200000,2092.255,
,375700000,2046.333,
,422600000,1963.762,
,469600000,1891.584,
,704400000,1627.762,
,939200000,1458.117,
81,2p-1,->,5g0
,10,4340.47,
,4696000,4296.762,
,7044000,4271.765,
,9392000,4245.369,
,11740000,4217.812,
,14090000,4189.328,
,16440000,4160.135,
,18780000,4130.433,
,21130000,4100.394,
,23480000,4070.169,
,25830000,4039.881,
,28180000,4009.626,
,30520000,3979.475,
,32870000,3949.464,
,37570000,3889.777,
,42260000,3829.299,
,46960000,3761.221,
,49310000,3719.923,
,51650000,3674.626,
,54000000,3627.973,
,56350000,3581.55,
,58700000,3536.129,
,61050000,3492.209,
,63390000,3450.468,
,65740000,3412.62,
,68090000,3381.66,
,70440000,3356.727,
,72790000,3334.503,
,75130000,3313.525,
,77480000,3293.307,
,79830000,3273.653,
,82180000,3254.468,
,84530000,3235.697,
,85000000,3231.989,
,85470000,3228.295,
,85930000,3224.617,
,86400000,3220.953,
,86870000,3217.303,
,87340000,3213.667,
,87810000,3210.046,
,88280000,3206.437,
,88750000,3202.843,
,89220000,3199.261,
,89690000,3195.694,
,90160000,3192.139,
,90630000,3188.597,
,91100000,3185.068,
,91570000,3181.551,
,92040000,3178.048,
,92510000,3174.556,
,92980000,3171.077,
